listing_id,high,low,medium
6937842,0.062,0.471,0.467
6926917,0.175,0.527,0.298
7160740,0.051,0.803,0.146
6936310,0.066,0.466,0.468
6849109,0.223,0.346,0.431
6831018,0.001,0.977,0.022
6909842,0.002,0.966,0.032
6861360,0.001,0.97,0.029
6883414,0.05,0.721,0.229
6876026,0.188,0.662,0.15
7095390,0.001,0.99,0.009
6932265,0.477,0.157,0.366
6870949,0.07,0.669,0.261
6831335,0.041,0.612,0.347
6895698,0.168,0.568,0.264
6889889,0.181,0.562,0.257
6876679,0.037,0.81975,0.14325
6947097,0.201,0.549,0.25
6874970,0.022,0.88,0.098
6831069,0.436,0.221,0.343
6833628,0.068,0.785,0.147
6819282,0.113,0.533,0.354
6825025,0.023,0.787,0.19
6856513,0.022,0.706,0.272
6928711,0.0,0.984,0.016
6832548,0.112,0.503,0.385
6881870,0.027,0.7175,0.2555
6866978,0.316,0.178,0.506
7163400,0.32,0.287,0.393
6917187,0.2,0.243,0.557
6927475,0.027,0.679,0.294
6903243,0.052,0.54,0.408
6876188,0.013,0.923,0.064
6922219,0.019,0.902,0.079
7104085,0.001,0.997,0.002
6920897,0.093,0.41,0.497
6812177,0.026,0.79,0.184
6941047,0.074,0.414,0.512
6827609,0.001,0.9595666666666667,0.039433333333333334
6934328,0.012,0.892,0.096
6937556,0.556,0.1415,0.3025
6879765,0.060964285714285714,0.29025,0.6487857142857142
6942927,0.004,0.944,0.052
6945170,0.052,0.614,0.334
6901915,0.118,0.522,0.36
6824475,0.03,0.658,0.312
6832968,0.047,0.77425,0.17875
7166718,0.0,0.953,0.047
6905079,0.019,0.814,0.167
6940297,0.1075,0.1195,0.773
6911080,0.055,0.442,0.503
6917208,0.031,0.749,0.22
6858925,0.086,0.565,0.349
7169883,0.154,0.426,0.42
6944112,0.283,0.3025,0.4145
6885816,0.026,0.869,0.105
6837733,0.023,0.909,0.068
6828658,0.0531,0.6588999999999999,0.288
6839429,0.126,0.409,0.465
7164794,0.037,0.835,0.128
6837661,0.098,0.674,0.228
6883255,0.019,0.829,0.152
6833054,0.071,0.659,0.27
7675463,0.1,0.563,0.337
6871526,0.236,0.4845,0.2795
6876295,0.081,0.581,0.338
7204045,0.006,0.845,0.149
6840357,0.124,0.48015,0.39585
6917531,0.002,0.912,0.086
6886057,0.416,0.221,0.363
6833734,0.05558333333333333,0.414,0.5304166666666666
6908098,0.068,0.569,0.363
6860562,0.018,0.805,0.177
6859167,0.155,0.6510666666666667,0.19393333333333335
6812141,0.007,0.8432333333333333,0.14976666666666666
6919431,0.003,0.94,0.057
6869389,0.03266666666666667,0.742,0.22533333333333333
6906034,0.024,0.866,0.11
7108495,0.0,0.995,0.005
6864681,0.002,0.926,0.072
6893982,0.023,0.852,0.125
6862160,0.0085,0.9325,0.059
6854804,0.082,0.644,0.274
7143164,0.004,0.734,0.262
6936651,0.058,0.793,0.149
6837450,0.058,0.666,0.276
6908259,0.885,0.0685,0.0465
6916539,0.069,0.71,0.221
6947176,0.086,0.701,0.213
6933958,0.241,0.319,0.44
6816549,0.188,0.285,0.527
6876117,0.002,0.857,0.141
6848605,0.051,0.774,0.175
6840659,0.02,0.888,0.092
6823496,0.278,0.296,0.426
6912609,0.0,0.998,0.002
7097937,0.018,0.899,0.083
6924524,0.04,0.571,0.389
6938236,0.023,0.8685,0.1085
6865751,0.005,0.982,0.013
6936323,0.005,0.927,0.068
6868422,0.121,0.62,0.259
7210133,0.029,0.661,0.31
7215631,0.011,0.905,0.084
6940189,0.04775,0.692,0.26025
6888941,0.009,0.961,0.03
6831598,0.046,0.526,0.428
6939963,0.022,0.742904761904762,0.23509523809523808
6897175,0.28075,0.26725,0.452
6816167,0.062,0.805,0.133
6812965,0.024,0.792,0.184
7149372,0.263,0.225,0.512
6875959,0.015,0.932,0.053
6925644,0.052,0.398,0.55
6874269,0.044,0.508,0.448
6814721,0.033,0.797,0.17
6922432,0.025,0.731,0.244
6858861,0.011,0.801,0.188
6835339,0.0,0.998,0.002
6896997,0.259,0.433,0.308
6921134,0.001,0.974,0.025
6883685,0.357,0.31,0.333
6911406,0.002,0.993,0.005
6825733,0.41415,0.252,0.33385
6884462,0.148,0.3985,0.4535
6858682,0.016,0.908,0.076
6894013,0.069,0.409,0.522
6856391,0.535,0.278,0.187
6828064,0.001,0.937,0.062
6817336,0.002,0.935,0.063
6819178,0.116,0.589,0.295
7147339,0.103,0.503,0.394
6887757,0.127,0.392,0.481
6946859,0.038,0.542,0.42
6855963,0.008,0.935,0.057
6839828,0.056,0.647,0.297
6870806,0.142,0.386,0.472
6880221,0.066,0.569,0.365
6921809,0.132,0.523,0.345
6897069,0.017,0.7886666666666667,0.1943333333333333
6897157,0.114,0.368,0.518
6898912,0.031,0.734,0.235
6856271,0.168,0.579,0.253
6888381,0.0,0.997,0.003
7099191,0.003,0.953,0.044
6917882,0.231,0.424,0.345
6931260,0.001,0.975,0.024
6849996,0.041,0.384,0.575
6887973,0.051,0.681,0.268
6850205,0.182,0.222,0.596
6845657,0.08,0.59065,0.32935000000000003
6930302,0.006,0.932,0.062
6852391,0.067,0.665,0.268
6920411,0.17,0.473,0.357
6907999,0.013,0.879,0.108
6864094,0.015,0.6453333333333332,0.3396666666666666
6813852,0.07,0.5554166666666668,0.3745833333333333
7232295,0.279,0.23,0.491
6896558,0.087,0.748,0.165
6858919,0.097,0.514,0.389
6847828,0.054,0.828,0.118
6925116,0.154,0.476,0.37
6854687,0.088,0.697,0.215
6946415,0.117,0.44,0.443
6827859,0.0,0.998,0.002
6884313,0.31980000000000003,0.1482,0.532
6848651,0.09,0.466,0.444
7136298,0.01975,0.7785,0.20175
6874534,0.025,0.804,0.171
6908942,0.3050333333333333,0.303,0.39196666666666663
6894718,0.002,0.98,0.018
6876449,0.108,0.647,0.245
6825630,0.113,0.5510833333333334,0.3359166666666667
7155655,0.025,0.855,0.12
7201310,0.01,0.917,0.073
6864334,0.01,0.906,0.084
6876658,0.011,0.899,0.09
6842370,0.109,0.6825666666666667,0.20843333333333333
6835467,0.349,0.38180000000000003,0.2692
7227368,0.038,0.863,0.099
6859482,0.024,0.7195000000000001,0.2565
6878641,0.042,0.889,0.06900000000000002
6869916,0.0,0.993,0.007
6841060,0.003,0.865,0.132
6887832,0.028,0.794,0.178
6905898,0.044,0.925,0.031
7104742,0.227,0.3416666666666666,0.43133333333333335
6948090,0.008,0.736,0.256
6839851,0.132,0.505,0.363
6934051,0.005,0.953,0.042
6888727,0.218,0.387,0.395
7167478,0.016,0.959,0.025
6892109,0.06,0.194,0.746
6908544,0.341,0.406,0.253
6921725,0.033,0.672,0.295
6932343,0.106,0.282,0.612
6914309,0.009,0.7494166666666667,0.24158333333333334
6919805,0.098,0.743,0.159
6947828,0.041,0.81,0.149
6920362,0.08,0.7146666666666668,0.2053333333333333
7110179,0.485,0.192,0.323
6877834,0.232,0.333,0.435
6876966,0.068,0.533,0.399
6823918,0.044,0.796,0.16
6871243,0.008,0.916,0.076
6928189,0.259,0.396,0.345
6852455,0.152,0.516,0.332
7208631,0.048,0.703,0.249
6831811,0.112,0.216,0.672
6904276,0.03,0.846,0.124
6831589,0.143,0.687,0.17
6901814,0.022,0.856,0.122
6854667,0.686,0.10866666666666666,0.2053333333333333
7192650,0.005,0.957,0.038
6836299,0.031,0.87,0.099
6887919,0.005,0.7761000000000001,0.21889999999999998
6927679,0.119,0.463,0.418
6855908,0.1,0.607,0.293
6854766,0.01,0.881,0.109
6847472,0.041,0.735,0.224
6862519,0.06,0.665,0.275
6938819,0.287,0.466,0.247
6945434,0.0565,0.6435,0.3
6832722,0.561,0.317,0.122
6852707,0.008,0.878,0.114
7177680,0.03,0.586,0.384
6834945,0.005,0.992,0.003
6890316,0.043,0.629,0.328
6816620,0.006,0.914,0.08
6945175,0.024,0.843,0.133
6914016,0.034,0.806,0.16
6852619,0.13668333333333332,0.661,0.2023166666666667
6813211,0.151,0.417,0.432
6820546,0.059,0.769,0.172
6836128,0.012,0.942,0.046
6850557,0.057,0.353,0.59
6864997,0.115,0.75,0.135
6883705,0.045,0.789,0.166
6898767,0.006,0.916,0.078
6866020,0.017,0.857,0.126
7126382,0.439,0.244,0.317
6847427,0.20375,0.35125,0.445
6841013,0.042,0.754,0.204
6909469,0.0,0.997,0.003
6922473,0.008,0.954,0.038
6925906,0.072,0.62,0.308
6946014,0.132,0.524,0.344
6820739,0.034,0.743,0.223
6927559,0.256,0.357,0.387
7174772,0.005,0.936,0.059
6931036,0.026,0.659,0.315
6918163,0.023,0.787,0.19
6893604,0.14759999999999998,0.45139999999999997,0.401
6868844,0.082,0.661,0.257
6814537,0.611,0.19751666666666667,0.1914833333333333
6916118,0.0,0.988,0.012
6838509,0.046,0.746,0.208
6919725,0.189,0.406,0.405
6932476,0.0,0.985,0.015
6860496,0.015,0.304,0.681
7156799,0.08926666666666666,0.344,0.5667333333333333
6837521,0.008,0.7698333333333334,0.22216666666666665
6913204,0.037,0.558,0.405
6947516,0.055,0.48,0.465
6838117,0.05025,0.75475,0.195
6933366,0.012,0.806,0.182
7134198,0.045,0.562,0.393
6898450,0.089,0.53,0.381
6819926,0.058,0.751,0.191
6947698,0.042,0.783,0.175
6838721,0.002,0.983,0.015
6936661,0.049,0.3865,0.5645
6912257,0.053,0.751,0.196
6905569,0.004,0.969,0.027
6927167,0.388,0.281,0.331
7150689,0.022,0.861,0.117
6820358,0.156,0.624,0.22
6945045,0.071,0.418,0.511
6866884,0.015,0.893,0.092
6820658,0.069,0.587,0.344
6826462,0.041,0.255,0.704
6932390,0.025,0.825,0.15
6905031,0.398,0.418,0.184
6923011,0.011,0.914,0.075
6908504,0.183,0.388,0.429
6881050,0.3636166666666667,0.43638333333333335,0.2
6892968,0.016,0.69,0.294
7346996,0.124,0.414,0.462
6876206,0.011,0.854,0.135
6813475,0.058,0.657,0.285
7190057,0.111,0.7895,0.0995
6838465,0.1933333333333333,0.618,0.18866666666666665
6899364,0.076,0.817,0.107
6891616,0.0,0.994,0.006
6836715,0.017,0.827,0.156
6829616,0.006,0.875,0.119
6829144,0.0575,0.4075,0.535
6893064,0.024,0.784,0.192
6861300,0.001,0.89,0.109
6926847,0.024,0.487,0.489
6894021,0.02,0.849,0.131
6897946,0.035,0.721,0.244
6835716,0.124,0.594,0.282
6832160,0.4,0.321,0.279
6835291,0.02,0.86,0.12
6945184,0.05,0.775,0.175
7140488,0.037,0.718,0.245
6937850,0.073,0.5815,0.3455
6899603,0.058,0.78775,0.15425
6903105,0.176,0.48175,0.34225
6828476,0.012,0.847,0.141
6835098,0.002,0.96825,0.02975
6830512,0.057,0.804,0.139
6879997,0.037,0.823,0.14
7131517,0.067,0.6176666666666666,0.3153333333333333
6835955,0.208,0.40725,0.38475
6875250,0.021,0.746,0.233
6932794,0.044,0.622,0.334
6948263,0.047,0.415,0.538
6867201,0.259,0.24,0.501
6882748,0.224,0.558,0.218
6902842,0.112,0.598,0.29
6847535,0.082,0.529,0.389
6825267,0.044,0.8166666666666667,0.1393333333333333
6909277,0.066,0.848,0.086
7152429,0.414,0.23,0.356
6931179,0.002,0.967,0.031
6896746,0.202,0.36,0.438
6937073,0.006,0.757,0.237
6934627,0.004,0.984,0.012
6887878,0.216,0.42,0.364
6921531,0.028,0.806,0.166
6897461,0.002,0.966,0.032
6862066,0.15,0.475,0.375
6851531,0.14333333333333334,0.5043333333333333,0.3523333333333334
6928550,0.044,0.847,0.109
6945851,0.021,0.875,0.104
6946955,0.002,0.968,0.03
6869136,0.204,0.222,0.574
6908667,0.044000000000000004,0.68075,0.27525
6820525,0.237,0.477,0.286
6887970,0.107,0.42,0.473
6848365,0.06,0.616,0.324
6816173,0.029,0.799,0.172
6900732,0.0,0.986,0.014
6815786,0.113,0.514,0.373
6945972,0.1679857142857143,0.431,0.4010142857142857
6848445,0.05466666666666666,0.803,0.1423333333333333
6856486,0.125,0.4198,0.4552
6867010,0.028,0.7296666666666668,0.24233333333333335
6828257,0.294,0.55,0.156
6871807,0.035,0.806,0.159
7212966,0.0,0.977,0.023
6889959,0.161,0.522,0.317
6915510,0.003,0.96,0.037
6905402,0.002,0.935,0.063
6826100,0.089,0.362,0.549
6848893,0.022,0.661,0.317
7155647,0.217,0.556,0.227
6812883,0.115,0.149,0.736
6866095,0.01,0.934,0.056
6931127,0.015,0.946,0.039
6829407,0.014,0.8433333333333334,0.14266666666666666
6867548,0.247,0.36125,0.39175
7132575,0.05,0.655,0.295
6890847,0.019,0.809,0.172
6916429,0.014,0.968,0.018
6884716,0.48975,0.13875,0.3715
6896897,0.355,0.28625,0.35875
6941572,0.094,0.666,0.24
6945277,0.116,0.459,0.425
7133293,0.008,0.822,0.17
7213385,0.01,0.878,0.112
6831928,0.115,0.436,0.449
6932687,0.014,0.885,0.101
6873877,0.017,0.919,0.064
7135459,0.31986666666666663,0.41913333333333336,0.261
6876620,0.0,0.965,0.035
6936163,0.012,0.859,0.129
6912398,0.179,0.528,0.293
6917655,0.027,0.842,0.131
6941149,0.038,0.86,0.102
6941378,0.032,0.879,0.089
6882453,0.022,0.787,0.191
7119160,0.04,0.79,0.17
6868451,0.045,0.605,0.35
6945881,0.09,0.636,0.274
6822541,0.09,0.674,0.236
6884355,0.033,0.3673333333333333,0.5996666666666667
7132247,0.023,0.726,0.251
6872049,0.141,0.499,0.36
6890740,0.007,0.888,0.105
6840897,0.085,0.682,0.233
6847694,0.014,0.866,0.12
6938196,0.01,0.749,0.241
6939526,0.044,0.694,0.262
6917529,0.003,0.967,0.03
6885636,0.002,0.897,0.101
7202614,0.003,0.98,0.017
6926453,0.121,0.351,0.528
6844636,0.291,0.5073333333333333,0.20166666666666666
6879293,0.554,0.179,0.267
6924780,0.111,0.54725,0.34175
6881024,0.018,0.923,0.059
6851374,0.124,0.523,0.353
6850953,0.015,0.813,0.172
6892292,0.004200000000000001,0.9107999999999999,0.085
6886159,0.007,0.912,0.081
6849877,0.164,0.511,0.325
6940840,0.013,0.83,0.157
6926838,0.013,0.631,0.356
6879243,0.242,0.324,0.434
6944286,0.069,0.6252666666666666,0.30573333333333336
6915587,0.173,0.28806666666666664,0.5389333333333334
6881904,0.079,0.636,0.285
7154358,0.198,0.51,0.292
6899258,0.002,0.9,0.098
6855460,0.139,0.289,0.572
6864884,0.024,0.817,0.159
6868209,0.161,0.524,0.315
6853834,0.059,0.59675,0.34425
7210020,0.085,0.5185,0.3965
6933228,0.03,0.769,0.201
6929227,0.115,0.5981666666666667,0.2868333333333334
7192346,0.092,0.668,0.24
6928834,0.01,0.8839333333333333,0.10606666666666666
6812269,0.022,0.847,0.131
6851446,0.083,0.696,0.221
6930820,0.006,0.965,0.029
6875310,0.166,0.646,0.188
6932397,0.11,0.375,0.515
6904291,0.005,0.99,0.005
6921642,0.038,0.3845,0.5775
7136057,0.2905,0.5255,0.184
6920815,0.02,0.857,0.123
6861757,0.151,0.26,0.589
6934222,0.66,0.16766666666666666,0.17233333333333334
6946448,0.021,0.715,0.264
6890569,0.285,0.4743333333333334,0.2406666666666667
6884477,0.074,0.506,0.42
7145006,0.0,0.928,0.072
6893718,0.0,0.967,0.033
6893330,0.012,0.768,0.22
6901780,0.002,0.942,0.056
6815738,0.106,0.4250833333333333,0.4689166666666667
6917209,0.056,0.683,0.261
6904227,0.005,0.962,0.033
6894402,0.003,0.945,0.052
7146083,0.033,0.818,0.149
6902153,0.012,0.9558,0.0322
6925988,0.117,0.552,0.331
6881323,0.0,0.999,0.001
6937405,0.236,0.47,0.294
7098390,0.178,0.354,0.468
6935942,0.18065952380952385,0.2933404761904762,0.526
6833510,0.095,0.5005666666666667,0.4044333333333333
6812857,0.08191666666666665,0.4445833333333334,0.4735
6828441,0.12964285714285714,0.538,0.3323571428571429
6915711,0.184,0.249,0.567
6880643,0.268,0.338,0.394
7224930,0.033,0.414,0.553
6852614,0.0,0.936,0.064
6853816,0.131,0.628,0.241
6811964,0.101,0.615,0.284
6847800,0.013,0.915,0.072
6859897,0.226,0.41,0.364
6882929,0.002,0.936,0.062
7157584,0.003,0.944,0.053
6863444,0.012,0.953,0.035
6836902,0.001,0.968,0.031
6918960,0.08181666666666668,0.6785,0.23968333333333333
6882854,0.079,0.57,0.351
6822755,0.014,0.925,0.061
6815184,0.126,0.547,0.327
6846582,0.069,0.788,0.143
6940309,0.028,0.864,0.108
6924056,0.004,0.886,0.11
6824481,0.007,0.852,0.141
6839735,0.004,0.946,0.05
6900130,0.059,0.72,0.221
6946739,0.008,0.97,0.022
7144008,0.037,0.662,0.301
6863751,0.005,0.975,0.02
6820293,0.036,0.595,0.369
6818472,0.013,0.8223333333333332,0.16466666666666668
6832420,0.024,0.88,0.096
6879450,0.003,0.971,0.026
6943618,0.009,0.761,0.23
6883463,0.028,0.744,0.228
6834919,0.161,0.4345,0.4045
7505696,0.031,0.885,0.084
6903645,0.028,0.754,0.218
6831148,0.515,0.327,0.158
6828948,0.04,0.839,0.121
6878495,0.007,0.914,0.079
6924862,0.003,0.972,0.025
6887802,0.042,0.616,0.342
6903228,0.75,0.079,0.171
6947415,0.0,0.987,0.013
6941508,0.306,0.3133333333333333,0.3806666666666667
6856111,0.032,0.687,0.281
7126808,0.02,0.785,0.195
6939857,0.034,0.696,0.27
6822528,0.2734,0.43760000000000004,0.289
6947631,0.156,0.4795,0.3645
6887810,0.008,0.815,0.177
6849210,0.022,0.84425,0.13375
6901742,0.001,0.974,0.025
6850925,0.46775,0.2595,0.27275
7181995,0.161,0.508,0.331
6841559,0.005,0.969,0.026
6822957,0.116,0.764,0.12
6943349,0.032,0.7973333333333333,0.17066666666666666
6923825,0.019,0.856,0.125
6871218,0.29,0.334,0.376
6932761,0.291,0.2395,0.4695
7168983,0.085,0.662,0.253
6853713,0.19748333333333334,0.46875,0.33376666666666677
6814124,0.046,0.597,0.357
6828980,0.003,0.661,0.336
6939747,0.02,0.802,0.178
6862615,0.09,0.625,0.285
6911182,0.036,0.916,0.048
6947421,0.081,0.739,0.18
7163662,0.002,0.997,0.001
6933362,0.108,0.586,0.306
6822086,0.043,0.799,0.158
6939543,0.072,0.6433333333333334,0.2846666666666667
6882675,0.037,0.513,0.45
6925986,0.001,0.936,0.063
6927417,0.079,0.146,0.775
6824119,0.198,0.53,0.272
6923589,0.0465,0.6945,0.259
7205380,0.005,0.886,0.109
6904992,0.026,0.855,0.119
6857676,0.03,0.37,0.6
6942001,0.053,0.5106,0.43639999999999995
7187800,0.016,0.802,0.182
6877985,0.179,0.16046666666666667,0.6605333333333333
6821414,0.039,0.862,0.099
6864512,0.004,0.945,0.051
6827448,0.034,0.7321666666666667,0.2338333333333333
6908603,0.007,0.866,0.127
7229431,0.038,0.742,0.22
6887335,0.012,0.9,0.088
6882828,0.025,0.307,0.668
6899958,0.031,0.6563333333333333,0.3126666666666667
6824008,0.081,0.4666666666666666,0.45233333333333337
6903906,0.254,0.577,0.169
7115894,0.058,0.043,0.899
6941723,0.024,0.607,0.369
6839785,0.184,0.264,0.552
6886776,0.019,0.865,0.116
6916643,0.012,0.9526,0.0354
6913846,0.041,0.48,0.479
6890122,0.009,0.923,0.068
6835099,0.004,0.91,0.086
6945428,0.082,0.472,0.446
6887669,0.05723333333333334,0.67475,0.2680166666666666
6935132,0.0,0.995,0.005
6857587,0.041,0.762,0.197
6935498,0.053,0.585,0.362
6947868,0.139,0.211,0.65
6850003,0.061,0.483,0.456
6852354,0.341,0.4113,0.24769999999999998
6919832,0.011,0.876,0.113
6812510,0.005,0.937,0.058
6896715,0.128,0.699,0.173
7227507,0.044,0.756,0.2
6887453,0.019,0.8315,0.1495
6921056,0.096,0.65725,0.24675
6932635,0.365,0.173,0.462
6893393,0.003,0.924,0.073
6940659,0.061,0.76,0.179
6891517,0.001,0.979,0.02
6818991,0.028,0.774,0.198
6899307,0.201,0.3948,0.4042
7175517,0.014,0.8864,0.0996
6895415,0.049,0.843,0.108
6945124,0.012,0.787,0.201
